"","iphone","iphonedisunc","iphonedisneg","iphoneperpos","iphonedispos","iphonecampos","iphonecamunc","iphoneperneg","iphoneperunc","iphonesentiment.1","iphonesentiment"
"175",0,0,0,0,1,0,0,0,2,"0","1"
"176",0,0,10,0,0,1,1,0,0,"0","1"
"177",0,4,0,0,0,0,0,0,0,"0","1"
"178",0,0,0,3,0,0,0,0,0,"0","1"
"179",0,0,0,1,0,0,0,0,0,"0","1"
"180",1,0,0,0,0,0,0,0,0,"5","6"
"181",0,0,0,1,0,0,0,0,0,"0","1"
"182",0,0,0,0,0,1,7,0,0,"0","1"
"183",4,0,0,0,0,0,0,0,1,"5","6"
"184",41,4,0,0,0,0,0,0,0,"5","6"
"185",0,0,0,0,0,0,0,0,0,"0","1"
"186",1,0,0,0,0,0,0,0,0,"5","6"
"187",0,0,0,5,0,0,0,0,0,"0","1"
"188",1,0,0,0,0,0,0,0,0,"5","6"
"189",1,0,0,0,0,0,0,0,0,"5","6"
"190",1,0,0,0,0,0,0,0,0,"5","6"
"191",0,0,0,0,0,0,0,0,0,"0","1"
"192",0,0,0,0,1,0,0,0,1,"0","1"
"193",0,0,0,1,0,0,0,0,0,"0","1"
"194",0,0,0,0,1,0,0,0,0,"0","1"
"195",1,0,0,0,0,0,0,0,0,"5","6"
"196",2,0,0,0,1,0,0,0,0,"5","6"
"197",0,0,0,0,0,0,0,1,0,"0","1"
"198",1,0,0,0,4,0,0,2,0,"5","6"
"199",0,0,0,0,0,0,0,0,0,"0","1"
"200",1,9,0,0,13,0,0,0,5,"5","6"
"201",2,0,0,0,0,0,0,0,0,"5","6"
"202",1,0,0,0,0,0,0,0,0,"5","6"
"203",2,0,0,0,0,0,0,0,1,"5","6"
"204",7,0,0,0,0,0,0,0,0,"5","6"
"205",0,0,0,0,0,0,0,0,0,"0","1"
"206",0,0,0,0,0,0,0,0,0,"0","1"
"207",1,0,0,0,0,0,0,0,0,"5","6"
"208",0,0,0,0,0,0,2,0,0,"0","1"
"209",0,0,0,0,0,0,0,4,0,"0","1"
"210",6,0,0,0,0,0,0,0,0,"5","6"
"211",0,0,0,0,0,3,0,0,0,"0","1"
"212",1,3,0,0,0,0,0,0,0,"3","4"
"213",1,0,0,0,0,0,0,0,0,"5","6"
"214",6,0,0,0,0,0,0,0,0,"5","6"
"215",0,0,0,0,0,0,0,0,0,"0","1"
"216",0,0,0,0,2,0,0,0,0,"0","1"
"217",1,0,0,0,0,0,0,0,0,"5","6"
"218",0,0,0,0,1,0,0,0,0,"0","1"
