"","iphonedisunc","iphonedisneg","iphoneperpos","iphonedispos","htcdispos","iphoneperneg","iphoneperunc","samsungperpos","samsungdispos","samsungdisneg","samsungperneg","galaxysentiment"
"143",0,0,0,0,0,0,1,0,0,0,0,"5"
"144",0,0,0,0,0,1,0,0,0,0,0,"5"
"145",0,0,0,0,0,0,0,0,0,0,0,"5"
"146",0,0,0,0,0,0,0,0,0,0,0,"0"
"147",0,0,0,0,0,0,0,0,0,0,0,"5"
"148",0,0,0,0,0,0,0,0,0,0,0,"5"
"149",0,0,0,0,0,1,0,0,0,0,0,"5"
"150",0,0,0,0,0,0,0,0,0,0,0,"0"
"151",0,0,0,0,0,0,0,0,0,0,0,"5"
"152",0,0,0,0,0,0,0,0,0,0,0,"5"
"153",0,0,1,0,0,0,0,1,0,0,0,"5"
"154",0,0,0,0,0,8,0,0,0,0,0,"5"
"155",4,0,0,0,0,0,0,0,0,0,0,"3"
"156",0,0,0,0,0,0,0,0,0,0,0,"5"
"157",0,0,0,0,0,0,0,0,0,0,0,"5"
"158",0,0,0,0,0,0,0,0,0,0,0,"5"
"159",0,0,0,0,0,0,0,0,0,0,0,"5"
"160",0,0,0,0,0,0,0,0,0,0,0,"5"
"161",1,5,0,0,0,5,0,0,0,5,5,"4"
"162",0,0,0,0,0,0,0,0,0,0,0,"5"
"163",0,0,0,3,3,0,0,0,3,0,0,"0"
"164",0,0,0,0,0,0,3,0,0,0,0,"5"
"165",0,0,0,0,0,0,0,0,0,0,0,"5"
"166",0,0,0,0,0,0,0,0,0,0,0,"5"
"167",0,0,0,0,0,0,0,0,0,0,0,"5"
"168",0,0,3,0,0,5,0,3,0,0,5,"5"
"169",0,0,0,0,0,0,0,0,0,0,0,"5"
"170",0,0,0,0,0,0,0,0,0,0,0,"5"
"171",0,0,0,0,0,0,0,0,0,0,0,"5"
"172",0,0,0,0,0,0,0,0,0,0,0,"5"
"173",0,0,0,0,0,0,0,0,0,0,0,"5"
"174",0,0,0,0,0,0,3,0,0,0,0,"5"
"175",0,0,0,1,0,0,2,0,0,0,0,"2"
"176",0,10,0,0,0,0,0,0,0,0,0,"5"
"177",4,0,0,0,0,0,0,0,0,0,0,"3"
"178",0,0,3,0,0,0,0,0,0,0,0,"5"
"179",0,0,1,0,0,0,0,0,0,0,0,"5"
"180",0,0,0,0,0,0,0,0,0,0,0,"5"
"181",0,0,1,0,0,0,0,0,0,0,0,"5"
"182",0,0,0,0,0,0,0,0,0,0,0,"5"
"183",0,0,0,0,0,0,1,0,0,0,0,"5"
"184",4,0,0,0,0,0,0,0,0,0,0,"3"
"185",0,0,0,0,0,0,0,0,0,0,0,"5"
"186",0,0,0,0,0,0,0,0,0,0,0,"5"
"187",0,0,5,0,0,0,0,0,0,0,0,"5"
"188",0,0,0,0,0,0,0,0,0,0,0,"5"
"189",0,0,0,0,0,0,0,0,0,0,0,"5"
"190",0,0,0,0,0,0,0,0,0,0,0,"5"
"191",0,0,0,0,0,0,0,0,0,0,0,"5"
"192",0,0,0,1,0,0,1,0,0,0,0,"2"
"193",0,0,1,0,0,0,0,0,0,0,0,"5"
"194",0,0,0,1,0,0,0,0,0,0,0,"3"
"195",0,0,0,0,0,0,0,0,0,0,0,"5"
"196",0,0,0,1,1,0,0,0,0,0,0,"3"
"197",0,0,0,0,0,1,0,0,0,0,0,"5"
"198",0,0,0,4,4,2,0,0,0,0,0,"5"
"199",0,0,0,0,0,0,0,0,0,0,0,"5"
"200",9,0,0,13,0,0,5,0,0,0,0,"5"
"201",0,0,0,0,0,0,0,0,0,0,0,"5"
"202",0,0,0,0,0,0,0,0,0,0,0,"5"
"203",0,0,0,0,0,0,1,0,0,0,0,"5"
"204",0,0,0,0,0,0,0,0,0,0,0,"5"
"205",0,0,0,0,0,0,0,0,0,0,0,"0"
"206",0,0,0,0,0,0,0,0,0,0,0,"5"
"207",0,0,0,0,0,0,0,0,0,0,0,"5"
"208",0,0,0,0,0,0,0,0,0,0,0,"5"
"209",0,0,0,0,0,4,0,0,0,0,0,"5"
"210",0,0,0,0,0,0,0,0,0,0,0,"5"
"211",0,0,0,0,0,0,0,0,0,0,0,"0"
